frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_003483.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3483,109108,8.22,True
Screen_Recording_2026-07-03_at_12.06.59 AM_003486.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3486,109188,1.98,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003489.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3489,109268,3.89,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003492.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3492,109348,5.43,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003495.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3495,109428,6.46,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003498.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3498,109528,6.9,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003501.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3501,109648,6.96,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003504.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3504,109728,7.0,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003507.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3507,109848,7.26,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003510.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3510,109928,7.32,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003513.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3513,110008,7.52,False
